Movement_Date,GLN_Code,EAN_Code,Base_Unit_Code,Stock,Transit,Shipped,OOS
8/21/2020,4080398539419,4790685000310,9500188105,51018,0,3312,24
8/21/2020,4080398539419,4790685000555,9500188108,20641,0,312,0
8/21/2020,4080398539419,4790685000884,9500959798,27582,0,1752,24
8/21/2020,4080398539419,4790685001034,9500704337,2088,0,0,0
8/21/2020,4080398539419,4790685003515,9500704336,7152,0,120,0
8/21/2020,4080398539419,4790685004561,9500739441,1020,0,225,0
8/21/2020,4080398539419,4790685004528,9500736916,1369,0,198,0
8/21/2020,4080398539419,4790685004585,9500736917,145,0,270,0
8/21/2020,4080398539419,4790685004622,9500736917,1242,0,36,0
8/21/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/21/2020,4080398539419,4790685006551,9500733337,504,0,144,0
8/21/2020,4080398539419,4790685006800,9500738679,1619,0,0,0
8/21/2020,4080398539419,4790685002420,9500777987,5328,0,288,0
8/21/2020,4080398539419,4790685009313,9500753387,35645,0,9945,27
8/21/2020,4080398539419,4790685010814,9500754147,3610,0,81,0
8/21/2020,4080398539419,4790685019550,9500306461,171,0,162,0
8/21/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/21/2020,4080398539419,4790685053558,9500305897,84118,0,1240,20
8/21/2020,4080398539419,4790685054163,9500318810,0,0,0,18
8/21/2020,4080398539419,4790685054484,9500395894,149,0,48,0
8/21/2020,4080398539419,4790685054551,9500395895,3672,0,0,0
8/21/2020,4080398539419,4790685043992,9500765956,712,0,90,0
8/21/2020,4080398539419,4790685500508,9500188046,14599,0,1608,0
